SampleID,Station_DL,StationType_Final,Count,StationCode,SampleDate,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,Replicate,CollectionDeviceName,TisSource,TissueCollectionComments,OrganismID,OrganismName,CommonName,TagNumber,LifeStageCode,TotalCount,PartCreated,SampleID,ForkLength,TotalLength,UnitLengthFish,LengthSource,Weight,UnitWeightFish,WeightSource,SizeDescr,Age,Sex,Anomaly,ProcessedOrganismsExpandedFishComments,TissueID,TissueName,PartsPrepPreservationName,EntryDateTime,TissueWeight,UnitTissueWeight,PartsComments,CompositeID,CompositeType,CompositeReplicate,CompositeWeight,UnitCompositeWeight,HomogDate,OrganismGroup,CompAgencyCode,CompositeComments
17MMP-AN-CB010-MP_1,CB010,Field,33,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_1,Engraulidae,Anchovies,,A,1,Yes,,,5.1,cm,,0.6,g,,,,,,,17MMP-AN-CB010-MP_1,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_1,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_10,CB010,Field,11,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_10,Engraulidae,Anchovies,,A,1,Yes,,,5.9,cm,,1.2,g,,,,,,,17MMP-AN-CB010-MP_10,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_10,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_2,CB010,Field,21,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_2,Engraulidae,Anchovies,,A,1,Yes,,,4.9,cm,,0.7,g,,,,,,,17MMP-AN-CB010-MP_2,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_2,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_3,CB010,Field,18,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_3,Engraulidae,Anchovies,,A,1,Yes,,,5.5,cm,,1.1,g,,,,,,,17MMP-AN-CB010-MP_3,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_3,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_4,CB010,Field,33,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_4,Engraulidae,Anchovies,,A,1,Yes,,,6.4,cm,,1.3,g,,,,,,,17MMP-AN-CB010-MP_4,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_4,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_5,CB010,Field,18,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_5,Engraulidae,Anchovies,,A,1,Yes,,,6.2,cm,,1,g,,,,,,,17MMP-AN-CB010-MP_5,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_5,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_6,CB010,Field,10,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_6,Engraulidae,Anchovies,,A,1,Yes,,,5.6,cm,,0.8,g,,,,,,,17MMP-AN-CB010-MP_6,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_6,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_7,CB010,Field,19,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_7,Engraulidae,Anchovies,,A,1,Yes,,,5.3,cm,,0.9,g,,,,,,,17MMP-AN-CB010-MP_7,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_7,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_8,CB010,Field,20,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_8,Engraulidae,Anchovies,,A,1,Yes,,,5.3,cm,,0.9,g,,,,,,,17MMP-AN-CB010-MP_8,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_8,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB010-MP_9,CB010,Field,27,CB10,2017-07-05,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,11:41,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB010-MP_9,Engraulidae,Anchovies,,A,1,Yes,,,6,cm,,1.4,g,,,,,,,17MMP-AN-CB010-MP_9,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB010-MP_9,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_1,CB037,Field,27,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_1,Engraulidae,Anchovies,,A,1,Yes,,,9,cm,,4.2,g,,,,,,,17MMP-AN-CB037-MP_1,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_1,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_10,CB037,Field,4,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_10,Engraulidae,Anchovies,,A,1,Yes,,,8.8,cm,,4.6,g,,,,,,,17MMP-AN-CB037-MP_10,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_10,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_2,CB037,Field,14,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_2,Engraulidae,Anchovies,,A,1,Yes,,,8.8,cm,,4.6,g,,,,,,,17MMP-AN-CB037-MP_2,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_2,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_3,CB037,Field,26,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_3,Engraulidae,Anchovies,,A,1,Yes,,,8.6,cm,,3.7,g,,,,,,,17MMP-AN-CB037-MP_3,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_3,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_4,CB037,Field,11,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_4,Engraulidae,Anchovies,,A,1,Yes,,,9,cm,,4.3,g,,,,,,,17MMP-AN-CB037-MP_4,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_4,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_5,CB037,Field,17,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_5,Engraulidae,Anchovies,,A,1,Yes,,,8.8,cm,,4.4,g,,,,,,,17MMP-AN-CB037-MP_5,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_5,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_6,CB037,Field,7,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_6,Engraulidae,Anchovies,,A,1,Yes,,,7.9,cm,,4.3,g,,,,,,,17MMP-AN-CB037-MP_6,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_6,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_7,CB037,Field,9,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_7,Engraulidae,Anchovies,,A,1,Yes,,,9,cm,,4.5,g,,,,,,,17MMP-AN-CB037-MP_7,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_7,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_8,CB037,Field,5,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_8,Engraulidae,Anchovies,,A,1,Yes,,,9.4,cm,,5.1,g,,,,,,,17MMP-AN-CB037-MP_8,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_8,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB037-MP_9,CB037,Field,5,CB37,2017-07-06,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,08:13,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB037-MP_9,Engraulidae,Anchovies,,A,1,Yes,,,9.1,cm,,4.7,g,,,,,,,17MMP-AN-CB037-MP_9,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB037-MP_9,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_1,CB106,Field,21,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_1,Engraulidae,Anchovies,,A,1,Yes,,,13.3,cm,,20.8,g,,,,,,,17MMP-AN-CB106-MP_1,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_1,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_10,CB106,Field,17,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_10,Engraulidae,Anchovies,,A,1,Yes,,,14.9,cm,,21.9,g,,,,,,,17MMP-AN-CB106-MP_10,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_10,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_2,CB106,Field,17,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_2,Engraulidae,Anchovies,,A,1,Yes,,,13.5,cm,,17.2,g,,,,,,,17MMP-AN-CB106-MP_2,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_2,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_3,CB106,Field,14,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_3,Engraulidae,Anchovies,,A,1,Yes,,,13.6,cm,,17.9,g,,,,,,,17MMP-AN-CB106-MP_3,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_3,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_4,CB106,Field,27,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_4,Engraulidae,Anchovies,,A,1,Yes,,,14.1,cm,,20.1,g,,,,,,,17MMP-AN-CB106-MP_4,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_4,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_5,CB106,Field,22,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_5,Engraulidae,Anchovies,,A,1,Yes,,,13.5,cm,,17.5,g,,,,,,,17MMP-AN-CB106-MP_5,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_5,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_6,CB106,Field,16,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_6,Engraulidae,Anchovies,,A,1,Yes,,,13.2,cm,,17.4,g,,,,,,,17MMP-AN-CB106-MP_6,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_6,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_7,CB106,Field,17,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_7,Engraulidae,Anchovies,,A,1,Yes,,,12.9,cm,,16.2,g,,,,,,,17MMP-AN-CB106-MP_7,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_7,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_8,CB106,Field,8,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_8,Engraulidae,Anchovies,,A,1,Yes,,,12.8,cm,,15.7,g,,,,,,,17MMP-AN-CB106-MP_8,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_8,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-CB106-MP_9,CB106,Field,15,CB106,2017-06-19,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,12:00,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-CB106-MP_9,Engraulidae,Anchovies,,A,1,Yes,,,12,cm,,12.6,g,,,,,,,17MMP-AN-CB106-MP_9,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-CB106-MP_9,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-LSB06-MP_1,LSB06,Field,30,LSB06,2017-06-09,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,07:30,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-LSB06-MP_1,Engraulidae,Anchovies,,A,1,Yes,,,9.1,cm,,5.6,g,,,,,,,17MMP-AN-LSB06-MP_1,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-LSB06-MP_1,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-LSB06-MP_2,LSB06,Field,12,LSB06,2017-06-09,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,07:30,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-LSB06-MP_2,Engraulidae,Anchovies,,A,1,Yes,,,6.1,cm,,1.3,g,,,,,,,17MMP-AN-LSB06-MP_2,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-LSB06-MP_2,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-LSB06-MP_3,LSB06,Field,50,LSB06,2017-06-09,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,07:30,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-LSB06-MP_3,Engraulidae,Anchovies,,A,1,Yes,,,8.8,cm,,4.6,g,,,,,,,17MMP-AN-LSB06-MP_3,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-LSB06-MP_3,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-LSB06-MP_4,LSB06,Field,4,LSB06,2017-06-09,17-18_MP_Moore,TI,RMP,MPSL-MLML,,Bank,Point,07:30,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-LSB06-MP_4,Engraulidae,Anchovies,,A,1,Yes,,,7.8,cm,,2.8,g,,,,,,,17MMP-AN-LSB06-MP_4,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-LSB06-MP_4,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-SB074-MP_1,SB074,Field,8,SB074,2017-07-07,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,07:38,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-SB074-MP_1,Engraulidae,Anchovies,,A,1,Yes,,,8.6,cm,,4.7,g,,,,,,,17MMP-AN-SB074-MP_1,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-SB074-MP_1,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-SB074-MP_10,SB074,Field,8,SB074,2017-07-07,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,07:38,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-SB074-MP_10,Engraulidae,Anchovies,,A,1,Yes,,,7.5,cm,,2.2,g,,,,,,,17MMP-AN-SB074-MP_10,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-SB074-MP_10,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-SB074-MP_2,SB074,Field,6,SB074,2017-07-07,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,07:38,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-SB074-MP_2,Engraulidae,Anchovies,,A,1,Yes,,,8,cm,,2.7,g,,,,,,,17MMP-AN-SB074-MP_2,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-SB074-MP_2,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-SB074-MP_3,SB074,Field,1,SB074,2017-07-07,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,07:38,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-SB074-MP_3,Engraulidae,Anchovies,,A,1,Yes,,,9,cm,,4.1,g,,,,,,,17MMP-AN-SB074-MP_3,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-SB074-MP_3,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
17MMP-AN-SB074-MP_4,SB074,Field,6,SB074,2017-07-07,17-18_MP_Moore,TI,RMP,MPSL-MLML,,OpenWater1,Point,07:38,Trawl,1,MPSL-MLML_OtterTrawl_16,Resident,,17MMP-AN-SB074-MP_4,Engraulidae,Anchovies,,A,1,Yes,,,8.7,cm,,3.4,g,,,,,,,17MMP-AN-SB074-MP_4,GUT,Not Recorded,1/1/1950,-88,g,,17MMP-AN-SB074-MP_4,Normal,1,-88,g,1/1/1950,Fish,UoT-RL,
